"appearance_id","game_id","player_id","player_club_id","player_current_club_id","date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"2340300_204453",2340300,204453,2424,128,"2013-11-24","Brito","PO1",0,0,0,0,45
"3203697_119234",3203697,119234,39,39,"2020-06-06","Karim Onisiwo","L1",0,0,0,1,15
"2251401_85066",2251401,85066,1025,1025,"2012-11-25","Archimede Morleo","IT1",0,1,0,0,5
"3216059_462087",3216059,462087,306,306,"2019-08-24","Arjen van der Heide","NL1",0,0,0,0,7
"2978835_222571",2978835,222571,1050,1050,"2018-01-04","Ramiro Guerra","CDR",0,0,0,0,75
"3589325_354726",3589325,354726,826,826,"2022-01-08","Florian Sotoca","FR1",0,0,0,0,5
"2974452_167093",2974452,167093,338,338,"2017-11-29","Aleksandar Pantic","UKRP",0,0,0,0,90
"3210140_291417",3210140,291417,418,418,"2020-07-16","Ferland Mendy","ES1",0,0,0,0,90
"3602262_375180",3602262,375180,49364,49364,"2021-10-22","Oleksandr Kozak","UKR1",0,0,0,0,67
"3838756_315969",3838756,315969,985,6195,"2023-02-19","Scott McTominay","GB1",0,0,0,0,31
"2250043_7451",2250043,7451,11,11,"2012-11-28","Mikel Arteta","GB1",0,0,0,0,90
"4403396_615300",4403396,615300,6418,6418,"2024-11-30","Nikola Stajic","GR1",0,0,0,0,90
"2250239_56534",2250239,56534,1090,1268,"2012-10-07","Donny Gorter","NL1",1,0,0,0,90
"4396740_402112",4396740,402112,8024,8024,"2024-11-03","Morlaye Sylla","PO1",0,0,1,0,30
"2722882_67855",2722882,67855,820,820,"2017-05-28","Sergey Politevich","TR1",1,0,0,0,90
"3673466_64363",3673466,64363,3060,3060,"2021-10-31","Dani Castellano","GR1",0,0,0,0,90
"2367341_25734",2367341,25734,339,11127,"2013-12-12","Denys Kulakov","EL",1,0,0,0,27
"2345059_111965",2345059,111965,1064,1091,"2013-07-18","Eyal Golasa","ELQ",0,0,0,0,16
"2323739_55854",2323739,55854,2698,416,"2013-07-21","Cristian Ansaldi","RU1",1,0,0,0,90
"2545932_137648",2545932,137648,498,265,"2015-03-15","Sverrir Ingi Ingason","BE1",0,0,0,0,90
"3580975_328455",3580975,328455,235,235,"2021-08-21","Juriën Gaari","NL1",0,0,0,0,90
"4129501_177031",4129501,177031,2381,2381,"2023-10-22","Emrah Başsan","TR1",0,0,0,0,57
"2342396_52246",2342396,52246,610,995,"2013-12-22","Kolbeinn Sigthórsson","NL1",0,0,0,0,66
"4393250_278343",4393250,278343,114,114,"2024-12-21","Felix Uduokhai","TR1",0,0,0,0,90
"4233203_694355",4233203,694355,465,465,"2024-01-20","Lewis Jamieson","SFA",0,0,0,0,28
"3598123_193130",3598123,193130,601,1420,"2021-09-12","Rachid Alioui","BE1",1,0,0,1,37
"2486006_64104",2486006,64104,6994,6994,"2014-08-23","Sasa Balic","UKRP",0,0,0,0,90
"3651118_277179",3651118,277179,23826,12,"2021-11-24","Angeliño","CL",0,0,0,1,90
"2764497_17239",2764497,17239,5219,5219,"2017-02-01","Anastasios Venetis","GR1",0,0,0,0,42
"3223151_157113",3223151,157113,589,1467,"2019-12-20","Nazım Sangaré","TR1",0,0,0,0,90
"2486661_3202",2486661,3202,31,371,"2015-01-01","Kolo Touré","GB1",0,0,0,0,90
