"player_id","transfer_date","transfer_season","from_club_id","to_club_id","from_club_name","to_club_name","transfer_fee","market_value_in_eur","player_name"
546880,"2024-06-30","23/24",33,800,"FC Schalke 04","Atalanta BC",0,2e+06,"Brandon Soppy"
43250,"2022-09-02","22/23",294,58,"Benfica","RSC Anderlecht",0,2e+06,"Jan Vertonghen"
801734,"2025-06-30","24/25",148,27,"Tottenham","Bayern Munich",0,3e+07,"Mathys Tel"
605396,"2025-02-03","24/25",12,294,"AS Roma","Benfica",0,4e+06,"Samuel Dahl"
308278,"2019-06-30","18/19",1532,46,"Albacete","Inter",0,1500000,"Rey Manaj"
74683,"2024-01-27","23/24",273,1041,"Stade Rennais","Olympique Lyon",2600000,3500000,"Nemanja Matic"
451603,"2025-01-28","24/25",40812,48332,"CS U Craiova","Kolos Kovalivka",0,1e+06,"Ștefan Vlădoiu"
231354,"2018-07-01","18/19",448,159,"Vojvodina","Red Star",0,6e+05,"Dusan Jovancic"
61838,"2017-07-06","17/18",352,988,"Swindon Town","Oxford United",0,250000,"Jonathan Obika"
215096,"2022-01-29","21/22",1039,38,"QPR","F. Düsseldorf",0,1200000,"Jordy de Wijs"
713787,"2023-07-31","22/23",10010,19309,"EC Bahia","Independiente",0,2e+06,"Jhoanner Chávez"
645880,"2021-01-18","20/21",32099,3137,"Zlatibor","FK TSC",55000,3e+05,"Ifet Djakovac"
617267,"2023-06-30","22/23",1010,294,"Watford","Benfica",0,4500000,"Henrique Araújo"
290346,"2018-08-31","18/19",10330,3336,"Benfica B","Desportivo Aves",0,5e+05,"André Ferreira"
198638,"2018-06-30","17/18",2424,720,"Gil Vicente","FC Porto",0,3e+05,"João Costa"
509301,"2019-06-30","18/19",24026,2976,"Hapoel Bnei Lod","H. Beer Sheva",0,150000,"Or Dadia"
12029,"2021-07-06","21/22",1420,1154,"Angers SCO","Red Star FC",0,250000,"Ludovic Butelle"
593482,"2024-09-04","24/25",244,265,"Marseille","Panathinaikos",0,1.2e+07,"Azzedine Ounahi"
503743,"2021-08-23","21/22",9265,989,"Man City U23","Bournemouth",0,1300000,"Morgan Rogers"
946680,"2024-12-31","24/25",72822,932,"Dzerzhinsk","Loko Moscow",0,250000,"Arseniy Ageev"
361081,"2024-06-30","23/24",4271,607,"Triestina","Venezia",0,8e+05,"Daishawn Redan"
207623,"2012-07-01","12/13",10791,36470,"Renova","Gostivar",0,50000,"Visar Musliu"
340538,"2017-01-15","16/17",7179,46,"Tondela","Inter",0,3e+05,"Zé Turbo"
121477,"2011-05-31","10/11",1088,984,"Rochdale","West Brom",0,2e+05,"Craig Dawson"
